cve_concatenada,cve_rha,nom_rha,probabilidad,t_prob
1001,8,Lerma Santiago Pacifico,89.94,Muy Alta
1002,8,Lerma Santiago Pacifico,74.65,Alta
1003,8,Lerma Santiago Pacifico,64.6,Alta
1004,8,Lerma Santiago Pacifico,65.97,Alta
1005,8,Lerma Santiago Pacifico,81.85,Muy Alta
1006,8,Lerma Santiago Pacifico,85.7,Muy Alta
1007,8,Lerma Santiago Pacifico,53.42,Media
1008,8,Lerma Santiago Pacifico,54.24,Media
1009,8,Lerma Santiago Pacifico,49.02,Media
1010,8,Lerma Santiago Pacifico,63.46,Alta
1011,8,Lerma Santiago Pacifico,88.04,Muy Alta
2001,1,Peninsula de Baja California,14.32,Muy Baja
2002,1,Peninsula de Baja California,83.22,Muy Alta
2003,1,Peninsula de Baja California,64.17,Alta
2004,1,Peninsula de Baja California,96.56,Muy Alta
2005,1,Peninsula de Baja California,54.84,Media
3001,1,Peninsula de Baja California,28.5,Baja
3002,1,Peninsula de Baja California,18.17,Muy Baja
3003,1,Peninsula de Baja California,7.05,Muy Baja
3008,1,Peninsula de Baja California,57.46,Media
3009,1,Peninsula de Baja California,38.54,Baja
4001,12,Peninsula de Yucatan,58.7,Media
4002,12,Peninsula de Yucatan,31.01,Baja
4003,12,Peninsula de Yucatan,27.73,Baja
4004,12,Peninsula de Yucatan,22.44,Baja
4005,12,Peninsula de Yucatan,64.54,Alta
4006,12,Peninsula de Yucatan,53.86,Media
4007,11,Frontera Sur,1.93,Muy Baja
4008,12,Peninsula de Yucatan,29.93,Baja
4009,12,Peninsula de Yucatan,14.34,Muy Baja
4010,12,Peninsula de Yucatan,10.45,Muy Baja
4011,12,Peninsula de Yucatan,16.96,Muy Baja
5001,6,Rio Bravo,44.45,Media
5002,6,Rio Bravo,36.37,Baja
5003,6,Rio Bravo,11.26,Muy Baja
5004,6,Rio Bravo,37.84,Baja
5005,6,Rio Bravo,23.95,Baja
5006,6,Rio Bravo,40.67,Media
5007,6,Rio Bravo,27.35,Baja
5008,6,Rio Bravo,35.17,Baja
5009,7,Cuencas Centrales del Norte,58.93,Media
5010,6,Rio Bravo,48.3,Media
5011,6,Rio Bravo,56.95,Media
5012,6,Rio Bravo,11.16,Muy Baja
5013,6,Rio Bravo,6.95,Muy Baja
5014,6,Rio Bravo,8.03,Muy Baja
5015,6,Rio Bravo,18.15,Muy Baja
5016,6,Rio Bravo,39.36,Baja
5017,7,Cuencas Centrales del Norte,81.57,Muy Alta
5018,6,Rio Bravo,47.02,Media
5019,6,Rio Bravo,23.06,Baja
5020,6,Rio Bravo,7.31,Muy Baja
5021,6,Rio Bravo,45.97,Media
5022,6,Rio Bravo,5.62,Muy Baja
5023,6,Rio Bravo,5.15,Muy Baja
5024,7,Cuencas Centrales del Norte,21.2,Baja
5025,6,Rio Bravo,15.14,Muy Baja
5026,6,Rio Bravo,19.72,Muy Baja
5027,6,Rio Bravo,60.95,Alta
5028,6,Rio Bravo,34.54,Baja
5029,6,Rio Bravo,41.83,Media
5030,6,Rio Bravo,28.87,Baja
5031,6,Rio Bravo,18.4,Muy Baja
5032,6,Rio Bravo,16.35,Muy Baja
5033,7,Cuencas Centrales del Norte,5.61,Muy Baja
5034,7,Cuencas Centrales del Norte,25.71,Baja
5035,7,Cuencas Centrales del Norte,98.5,Muy Alta
5036,7,Cuencas Centrales del Norte,3.02,Muy Baja
5037,6,Rio Bravo,11.65,Muy Baja
5038,6,Rio Bravo,30.44,Baja
6001,8,Lerma Santiago Pacifico,37.68,Baja
6002,8,Lerma Santiago Pacifico,20.52,Baja
6003,8,Lerma Santiago Pacifico,67.9,Alta
6004,8,Lerma Santiago Pacifico,39.56,Baja
6005,8,Lerma Santiago Pacifico,19.63,Muy Baja
6006,8,Lerma Santiago Pacifico,31.28,Baja
6007,8,Lerma Santiago Pacifico,12.35,Muy Baja
6008,8,Lerma Santiago Pacifico,43.51,Media
6009,8,Lerma Santiago Pacifico,1.36,Muy Baja
6010,8,Lerma Santiago Pacifico,74.98,Alta
7001,11,Frontera Sur,38.35,Baja
7002,11,Frontera Sur,68.15,Alta
7003,11,Frontera Sur,63.61,Alta
7004,11,Frontera Sur,52.27,Media
7005,11,Frontera Sur,27.3,Baja
7006,11,Frontera Sur,16.61,Muy Baja
7007,11,Frontera Sur,21.19,Baja
7008,11,Frontera Sur,60.81,Alta
7009,11,Frontera Sur,62.74,Alta
