cve_concatenada,cve_rha,nom_rha,probabilidad,t_prob
1001,8,Lerma Santiago Pacifico,74.87431238,Alta
1002,8,Lerma Santiago Pacifico,13.54891704,Muy Baja
1003,8,Lerma Santiago Pacifico,26.19849489,Baja
1004,8,Lerma Santiago Pacifico,8.701748664,Muy Baja
1005,8,Lerma Santiago Pacifico,14.47665923,Muy Baja
1006,8,Lerma Santiago Pacifico,14.73368896,Muy Baja
1007,8,Lerma Santiago Pacifico,16.10817335,Muy Baja
1008,8,Lerma Santiago Pacifico,3.694004767,Muy Baja
1009,8,Lerma Santiago Pacifico,7.307944638,Muy Baja
1010,8,Lerma Santiago Pacifico,24.50730936,Baja
1011,8,Lerma Santiago Pacifico,26.4326294,Baja
2001,1,Peninsula de Baja California,28.24133017,Baja
2002,1,Peninsula de Baja California,24.96958072,Baja
2003,1,Peninsula de Baja California,41.0841919,Media
2004,1,Peninsula de Baja California,30.08916388,Baja
2005,1,Peninsula de Baja California,61.20624099,Alta
3001,1,Peninsula de Baja California,55.73417301,Media
3002,1,Peninsula de Baja California,91.32374822,Muy Alta
3003,1,Peninsula de Baja California,2.395549309,Muy Baja
3008,1,Peninsula de Baja California,54.07299668,Media
3009,1,Peninsula de Baja California,66.0423673,Alta
4001,12,Peninsula de Yucatan,23.40169049,Baja
4002,12,Peninsula de Yucatan,15.64210585,Muy Baja
4003,12,Peninsula de Yucatan,7.598372931,Muy Baja
4004,12,Peninsula de Yucatan,14.99660814,Muy Baja
4005,12,Peninsula de Yucatan,30.56942049,Baja
4006,12,Peninsula de Yucatan,15.32780255,Muy Baja
4007,11,Frontera Sur,28.66808022,Baja
4008,12,Peninsula de Yucatan,9.799058005,Muy Baja
4009,12,Peninsula de Yucatan,27.14438645,Baja
4010,12,Peninsula de Yucatan,94.12956494,Muy Alta
4011,12,Peninsula de Yucatan,66.42346083,Alta
5001,6,Rio Bravo,61.14339409,Alta
5002,6,Rio Bravo,15.16222489,Muy Baja
5003,6,Rio Bravo,10.68235888,Muy Baja
5004,6,Rio Bravo,41.15124948,Media
5005,6,Rio Bravo,29.39299996,Baja
5006,6,Rio Bravo,42.79760441,Media
5007,6,Rio Bravo,34.15079496,Baja
5008,6,Rio Bravo,54.26758669,Media
5009,7,Cuencas Centrales del Norte,17.27927531,Muy Baja
5010,6,Rio Bravo,24.11750959,Baja
5011,6,Rio Bravo,52.54919501,Media
5012,6,Rio Bravo,46.4471667,Media
5013,6,Rio Bravo,33.34807333,Baja
5014,6,Rio Bravo,14.84360864,Muy Baja
